review_id,user_id,business_id,stars,useful,funny,cool,text,date
u6EW2edED7ZfbZAw7lcYYQ,dNoGiISFXS1YM5HacSh0eA,bjhCtlYHrkgA5Ku8l-rB3g,5,0,0,0,"Great  breads especially the German rye. My favorite breakfast is the poached eggs, cooked perfectly. For lunch, I go for the eggplant panini or  Laurie's salad.",2013/11/14 2:00
Dn12A0jiukqwpn_UmDNZ8A,Ew9FroiMwHEcwtx4tLV0KA,bjhCtlYHrkgA5Ku8l-rB3g,4,0,0,0,This was my first time at Our Daily Bread and I loved it! I ordered the lemon-blueberry hotcakes and was very pleased. I loved the hint of the lemon because it wasn't too overwhelming and the maple syrup was really good too! I also ordered the hot chocolate and it was delicious. I am very picky about my hot chocolate and it was just right! My only confusion was where to put my dishes once I was done but I asked an employee and he was very kind and told me to leave them on the table. Go try it everyone!,2013/5/7 16:31
b4NThAISLYgUfJ9eDSW91g,5I_Qls5G_-Hwbd39eVG2yA,bjhCtlYHrkgA5Ku8l-rB3g,5,0,0,0,Love this place!! The bread and scones are first class! I love having a coffee and people watching. Vince is the best!,2015/10/25 19:03
zuSEs0ewVqUh60Hg27YG-A,TJLWuXw7YWfv65Lp1p6DLg,bjhCtlYHrkgA5Ku8l-rB3g,5,0,0,0,"Fantastic salad! I forget the name but it had brown rice, feta, roasted cashews and a delicious dressing. I added grilled chicken. All this with a cappuccino a cookie was under $15! 
The server was super friendly and speedy too!",2016/10/26 21:24
ocfh-vJ91yNl4heRf-REjQ,oQr7QPfrmB4qYyeZ9Z0VFg,bjhCtlYHrkgA5Ku8l-rB3g,5,1,0,0,"I love this place, my favorite item is New York Olive Bread and their home made potato. Staff are very friendly.",2017/2/21 1:03
I6EN4QwVGkFFjnMam2zufw,l99bprv2_hU-QREkfkCKsg,bjhCtlYHrkgA5Ku8l-rB3g,5,0,0,0,"WHOA! The huevos rancheros here are incredible! The self serve coffee from the pot is way better than the Daily Grinds' and the service is awesome. This is my first visit and I can't wait to come back. Also, gluten free bread! Hell yeah!",2014/4/3 16:07
7F6L2QPioi8uW0anpiHJqw,NhYB45AYmwQE24bjfgbGCA,bjhCtlYHrkgA5Ku8l-rB3g,5,0,1,0,"This place creates new addictions with every trip.  First of all, they put amazing samples of breads with olive oil and aged balsamic vinegar.  I could craze along the counter all day, and be a very happy man.  I have to say that their olive bread is to die for.  After loading up on the carbs, you are ready for something refreshing.  The salads are beyond exceptional.  The ingredients are dripping with freshness, and feels like farm to table while you wait.  If you are looking for a sandwich, the Cubano is just the ticket.  The first time I went in, I asked the cashier what she recommended because I was having a hard time deciding.  She told me that her favorite, without a doubt, was the Cubano.  So, I gave it a shot.  Now, I need my fix at least once a week.  I think there is an addictive agent in that sandwich.  It's probably in the bread - ya know, the bread that they have calling and enticing you from the top of the display case like a seductress.  Oh, did I fail to mention that once they get you in their grip, you're soon turned onto the pastries and goodies in the display case???  They have so many to choose from, and each one looks delectable.  They even have vegan and gluten free, which I was skeptical about, but very happily surprised.  I would be totally neglectful if I didn't mention the AWESOME staff.  They are genuine, fun, and really ensure that you have a positive experience.  No matter what mood you walk into Our Daily Bread in, you leave in a great mood.  So, if you need/want a new addiction in your life and to be treated like the most important person around, Our Daily Bread is a stop for you.",2014/4/3 21:59
RY1_8mq36VDK_w5XKiUftA,Lbgzuo_pWymzsUaiEtUFVQ,bjhCtlYHrkgA5Ku8l-rB3g,4,0,0,0,"Love this place!  Best fresh baked bread around and an awesome place to come in the mornings for a nice breakfast. 

I had just been in San Francisco and had crazy good toast at The Mill. There's really no one doing toast in So Cal except for here. Huge thick pieces of toast served with fresh ground peanut butter and homemade strawberry preserves. Seriously - this whopping piece of toast was enough for 2 people. 

I know they supply a number of local restaurants with their bread but it's great to stop in here and pick up a loaf for yourself at home. In the mornings, they often have a selection of their fresh loaves cut up for you to sample. Fantastic!!",2015/6/12 3:18
j2TVWKKdbWeo9u4oJG3_ww,gsWRiBYJRrOqUEa_QQ5t3Q,bjhCtlYHrkgA5Ku8l-rB3g,4,0,0,1,"Hooray for YELP.  How did I get by before Yelp?

I was up in Santa Barbara the other day and we noticed this Cafe as we drove around.

The next day when we wanted to go out for breakfast I went to YELP to read the reviews.

Its rating was good enough for us to go try it and we are so happy we did.
Though I will say this place is better then its  current rating of 3.5 stars.

We almost turned around  and left when we first got there because the menu posted on the front door said that breakfast was only served until 11 AM and it was 11:10 when we got there.   Fortunately I walked inside and asked the gentlemen behind the counter if we could still get breakfast.  He informed me that  BREAKFAST IS SERVED ALL DAY!!!!!!!!!!!!!!!!!    Those are my five favorite words in the world at a Restaurant as breakfast is my favorite meal of the day.

I ordered a 3 egg omelette with the breakfast potatoes and sourdough toast. 
My friend had the Breakfast Burrito.  They were both FABULOUS!  The omelette was light and fluffy.  They do not chince on the ingrediants I had plenty of tomatos in my omelette.  The breakfast potatoes were delish.  

We ordered a cup of  coffee and that was also outstanding.  They give you a cup and its self serve.  I love that.  They have plenty of options for things you can add to your coffee such as Cinnamon, Nutmeg, Chocolate powder.  You can also order Espressos and other coffees that they prepare for you.

Even though we were stuffed we decided to try something for dessert.  We went with the Cinnamon Roll with Pecans  (I think they call it a Schneiken?).  It was so good.

We left there full and content.

It was a no brainer where we were going to breakfast today- right back to Our Daily Bread.

The ciabatta bread is to die for, I had that with my omelette today. Their Rye bread is also top notch.

The employees are warm and friendly.  Really a nice crew.

The prices are a bit high, but its Santa Barbara so its to be expected. Breakfast for two was just under $30.00 the first day and $28 the second day.  That was without the extra treats we bought after breakfast.  I adore carrot cake, but would not recommend the one they sell here.  The texture of the cake was odd- it was actually ""squishy"" and wet when you bit into it. 

I understand they are very busy on the weekends but since we will be up there one more day, we might just brave the crowds so we can have one more fix of this terrific place.",2014/5/10 1:21
_-ByOe0rh1r9oDPglK6fyA,yUhiDz3jNoo5cfPeGWrs8g,bjhCtlYHrkgA5Ku8l-rB3g,5,0,0,0,Very good and gluten free is available.  Tucked in a quiet residential neighborhood. Sitting outside loving  life and chatting with the locals.,2016/10/2 17:12
