review_id,user_id,business_id,stars,useful,funny,cool,text,date
L0jv8c2FbpWSlfNC6bbUEA,bFPdtzu11Oi0f92EAcjqmg,IDtLPgUrqorrpqSLdfMhZQ,5,0,0,0,"What a great addition to the Funk Zone!  Grab a bite, grab some tastings, life is good. Right next door to the Santa Barbara Wine Collective, in fact it actually shares the same tables.  We had a fabulous savory croissant.",2016/10/13 22:50
LFpaQzYkP5Pzm5lEjJpTRw,Ttb21DpWqphQMNSS5TXgMA,IDtLPgUrqorrpqSLdfMhZQ,5,0,0,0,"Possibly the best breakfast sandwich EVER.  On a biscuit!  Oh my gosh, it was so good!",2017/1/15 0:36
Q3fPo_x6xKxafAzy1hFITg,ha2Lv7WnxvdYnRsqwL1apQ,IDtLPgUrqorrpqSLdfMhZQ,4,0,0,0,"Pricey ( a ham and cheese croissant was $5.50)  as with anywhere in Santa Barbra but very delicious. Cute space ( a bit hard to find ). The green eggs and ham  breakfast biscuit is to die for.  ($10 I think) The Santa Barbra tri tip sandwich was excellent! Cold brew coffee was good. Lots of good choices in the grab and go section, and our salami and pesto sammy was also great. I'd go back!",2018/7/17 0:20
_OmwsZRl7Qrz7S2T8mnlRg,OVLf6NVTi7noMP1qCKr76w,IDtLPgUrqorrpqSLdfMhZQ,5,0,1,1,"Are you kidding me? This is without a doubt some of the best food I've ever had my life. The bread is the best, and I cannot believe the chocolate croissant. Ambience is wonderful, intriguing, and very chic. People are friendly and kind.  Coffee looks great but I didn't try it (yet! I WILL be back) Prices are good, too.",2018/1/9 20:44
84DfCtrRKeRBqJpI1Pzyeg,EtayGG2z0YOWNbw6p6AG0Q,IDtLPgUrqorrpqSLdfMhZQ,5,0,0,0,"The best chocolate croissant (petit pain au chocolat) I had in USA!  I like the atmosphere, very industrial look. The place is shared with a wine bar, so you can have an excellent sandwich made with a French baguette and a glass of wine. It was too early for me. I would recommend this place.",2017/12/2 21:55
iFuGbpGMM35BTFDlNZcSvg,Hj3wDruCns_CHs17t1HhBw,IDtLPgUrqorrpqSLdfMhZQ,5,0,0,0,Green eggs and ham sandwich was delicious. The biscuit was peppery and perfectly baked. We also had the ricotta toast and I was pleasantly surprised at how tasty it was. I highly recommend this place for an early morning breakfast spot.,2018/8/5 0:40
fsewvP9cIPuSqJd_SufuOg,FdI6GJ-Jvt7L1byPYWJegQ,IDtLPgUrqorrpqSLdfMhZQ,5,0,0,0,"Seriously the best breakfast I have had in a long time- it is pricey but everything here in SB is - breakfast bun, choc croissant and the yogurt dear jesus- excellent cappuccino as well - go there now",2017/10/25 4:02
0I5JlTfKHsuzUuPYe-Bswg,9EVsfFOCEP-7L37HPzsOSA,IDtLPgUrqorrpqSLdfMhZQ,5,0,0,0,"Got the babaganoush and baguette delicious.
Service was good it gets busy but not too crowded",2017/7/8 18:07
P6XOsk0bjQ5nVbTAKuXN0Q,qEB91YxnzkQZwMFyWeVOHw,IDtLPgUrqorrpqSLdfMhZQ,5,0,0,0,"While on vacation in Santa Barbara, we happened upon this gem.  Everything was wonderful, but you have to try the cinnamon roll with the vanilla bean glaze.  It was AMAZING!  So good, that we bought another for our trip home.  Additionally, the breakfast biscuit was outstanding.  I loved that it was perfectly proportioned and I love every bite down to the last crumb.",2017/5/27 2:10
NN2WGLjM1o5EP8wtGtDtxg,HujQufkU2Y9lpZmeGkk5AQ,IDtLPgUrqorrpqSLdfMhZQ,5,1,0,0,"I've had a wide sampling of what HAB has to offer, and it's all so very good. You can't miss trying their churro and chocolate nib donuts. At least once a week, I stop in for a baguette to take home for dinner, and have been impressed by their single-serving size quiches. Seriously, the food is excellent quality (especially their farro salad), and the prices are reasonable for their gourmet offerings. Do yourself a favor and check them out!",2016/9/20 17:11
